provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
45379,AR,2,1,4,4,257.667,N
45380,AR,4,3,5,3,40,N
45381,AR,3,3,4,3,48,N
45382,AR,2,1,4,4,238.667,N
45383,AR,4,4,4,3,25.333,N
45384,AR,5,5,3,2,16.667,N
45385,AR,1,1,2,2,115.333,N
45386,AR,1,2,1,2,111,N
45387,AR,5,3,5,4,38,N
45390,AR,2,2,3,3,96.5,N
45391,AR,4,3,5,2,46,N
45392,AR,2,3,1,3,36,N
45393,AR,5,4,5,3,26.667,N
45394,AR,5,5,3,3,12,N
45396,AR,4,4,4,4,22,N
45398,AR,4,3,5,3,52.833,N
45401,AR,4,5,1,3,8,N
45402,AR,5,5,5,4,9.333,N
45403,AR,3,2,4,4,105.667,N
45404,AR,2,1,2,4,310.167,N
45406,AR,4,3,4,4,35.167,N
45407,AR,5,5,2,3,9.333,N
45408,AR,4,3,5,3,49.333,N
45409,AR,4,3,2,4,51.333,N
45410,AR,2,2,1,4,57.167,N
45411,AR,4,3,4,4,38.667,N
45412,AR,3,3,2,3,53.333,N
45413,AR,5,5,3,4,11.333,N
45414,AR,4,4,2,4,25.333,N
45415,AR,3,3,2,3,44.667,N
45416,AR,4,3,4,4,36,N
45417,AR,4,3,4,5,35.333,N
45418,AR,5,4,5,3,19.333,N
45419,AR,3,2,5,3,63.333,N
45421,AR,5,4,5,4,30,N
45422,AR,4,2,5,4,74,N
45424,AR,3,3,4,3,39.333,N
45425,AR,2,1,5,4,157.333,N
45427,AR,5,4,5,4,33.333,N
45428,AR,2,2,1,4,58.667,N
45430,AR,4,2,5,4,85.333,N
45431,AR,1,1,2,,116.167,N
45432,AR,1,1,3,2,275.667,Y
45433,AR,3,3,4,3,50,N
45434,AR,3,3,3,2,34,N
45435,AR,5,4,5,4,25.333,N
45436,AR,1,1,2,3,107.5,N
45437,AR,4,3,4,4,42,N
45438,AR,2,2,3,2,86,N
45439,AR,5,4,5,3,25.333,N
45440,AR,3,3,2,2,40.667,N
45441,AR,5,5,2,4,13.333,N
45442,AR,1,1,4,1,141.667,N
45443,AR,1,1,3,3,144.5,N
45445,AR,5,5,4,4,10.667,N
45446,AR,1,1,2,3,129.833,N
45447,AR,3,2,5,3,100.333,N
45448,AR,3,2,2,4,89.333,N
45449,AR,2,2,3,3,59,N
45450,AR,2,1,3,4,224,N
45451,AR,1,1,2,3,195.167,N
45452,AR,1,1,1,1,156.667,N
45453,AR,4,5,1,3,14,N
45454,AR,4,4,4,4,26.667,N
45455,AR,3,2,5,3,107.333,N
45456,AR,2,1,5,3,131,N
45457,AR,1,1,4,2,241.833,N
45458,AR,,,,,0,N
45459,AR,,,,,0,N
45460,AR,,,,,0,N
04A158,AR,3,2,5,3,70.833,N
04A293,AR,4,4,2,4,28,N
4E+090,AR,4,4,3,4,26.667,N
55001,CA,4,2,5,4,83.167,N
55002,CA,5,3,5,4,45.333,N
55003,CA,2,3,1,3,62,N
55008,CA,5,5,5,5,15.333,N
55011,CA,4,5,1,3,12,N
55013,CA,2,2,3,3,86,N
55014,CA,5,3,5,5,60,N
55016,CA,5,3,5,5,66,N
55017,CA,2,1,4,4,258,N
55022,CA,5,3,5,5,47,N
55028,CA,4,4,4,3,40,N
55032,CA,3,2,5,3,96,N
55034,CA,5,3,5,4,47.333,N
55036,CA,5,3,5,5,59.333,N
55039,CA,5,5,5,3,23.333,N
55041,CA,4,3,5,3,60,N
55042,CA,1,1,4,3,115.667,N
55045,CA,1,1,4,3,115.333,N
55047,CA,4,4,2,4,26.667,N
55049,CA,5,5,4,5,13.333,N
55052,CA,2,1,5,3,132.167,N
55056,CA,5,3,5,4,56,N
55057,CA,4,3,5,3,47.333,N
55060,CA,1,1,4,3,210.333,N
55064,CA,5,4,5,4,37.333,N
55066,CA,3,3,1,5,60,N
55067,CA,3,2,5,2,93.333,N
55070,CA,4,2,5,4,78,N
55072,CA,1,1,4,3,135,N
55074,CA,4,3,3,4,52.667,N
55076,CA,2,1,4,4,125.333,N
55077,CA,1,1,2,3,121.333,N
55078,CA,3,2,4,4,70,N
55079,CA,5,3,5,4,54,N
55084,CA,4,4,3,2,28.667,N
55085,CA,5,5,4,4,22,N
55092,CA,2,1,2,4,242.667,N
55093,CA,2,1,4,4,116.667,N
55099,CA,5,5,5,5,18.667,N
55104,CA,5,3,5,4,60.667,N
55105,CA,3,2,5,2,72.667,N
55107,CA,5,5,5,5,16.667,N
55109,CA,5,4,5,4,46,N
55111,CA,3,2,4,4,76,N
55114,CA,5,5,5,4,16,N
55115,CA,3,2,4,4,67.333,N
55116,CA,5,4,5,5,28,N
55119,CA,5,4,5,4,33.333,N
55121,CA,2,1,5,2,155.333,N
55123,CA,5,3,5,4,54.667,N
55126,CA,3,2,5,3,80.667,N
55129,CA,5,4,5,,38.667,N
55135,CA,4,3,5,2,57.333,N
55136,CA,4,4,4,4,32.667,N
55139,CA,4,2,5,4,71.333,N
55141,CA,4,3,4,4,65.333,N
55142,CA,3,2,5,,82.667,N
55146,CA,2,1,5,5,153.167,N
55147,CA,4,3,5,3,50.667,N
55150,CA,4,3,5,3,60,N
55153,CA,3,2,5,3,74,N
55155,CA,2,2,2,3,68.667,N
55156,CA,5,5,5,4,6.667,N
55157,CA,3,3,3,2,53.333,N
55160,CA,2,1,5,4,107.333,N
55161,CA,2,2,4,3,66.667,N
55162,CA,5,3,5,4,51.333,N
